660, 186
90, 33
336, 418
940, 359
720, 209
424, 232
297, 57
600, 796
879, 940
911, 954
71, 193
105, 63
117, 174
704, 553
344, 637
177, 606
202, 699
78, 566
66, 610
616, 680
936, 752
209, 698
501, 653
304, 688
236, 111
648, 867
90, 368
997, 520
587, 902
105, 426
339, 89
799, 931
482, 522
964, 34
115, 799
417, 658
483, 658
158, 306
741, 962
173, 352
151, 721
503, 245
161, 170
857, 947
368, 786
371, 544
257, 726
801, 42
399, 547
174, 392
305, 165
516, 583
935, 167
262, 630
34, 52
52, 393
785, 164
267, 748
303, 603
358, 731
335, 729
105, 560
970, 593
598, 776
961, 417
602, 109
567, 334
383, 806
319, 622
448, 946
537, 402
674, 935
982, 133
590, 941
631, 451
769, 818
329, 338
194, 705
781, 529
904, 343
591, 32
103, 251
407, 330
586, 45
322, 445
924, 330
324, 680
328, 970
195, 343
166, 618
128, 33
713, 177
483, 334
342, 926
631, 919
903, 685
213, 513
562, 337
708, 754
55, 356
